category,department,expense_category,expense_name,amount
Buildings & Grounds,Building Inspection,Equipment Materials & Supplies,EQUIPMENT EXPENSE,400
Buildings & Grounds,Building Inspection,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,5000
Buildings & Grounds,Building Inspection,Gasoline and Fuel,GASOLINE/DIESEL FUEL,2000
Buildings & Grounds,Building Inspection,General Office,OFFICE SUPPLIES & POSTAGE,900
Buildings & Grounds,Building Inspection,General Office,PUBLIC INFORMATION & EDUCATION,200
Buildings & Grounds,Building Inspection,General Office,"PUBLICATIONS, DUES",2000
Buildings & Grounds,Building Inspection,IT Expenses,IT CAPITAL ISF ALLOCATION,1295
Buildings & Grounds,Building Inspection,IT Expenses,IT OPERATING ISF ALLOCATION,35965
Buildings & Grounds,Building Inspection,Insurance Expenses,INSURANCE ISF ALLOCATION,13140
Buildings & Grounds,Building Inspection,Salary & Benefits,DENTAL INS,5776
Buildings & Grounds,Building Inspection,Salary & Benefits,DISABILITY INS,1700
Buildings & Grounds,Building Inspection,Salary & Benefits,FICA,28050
Buildings & Grounds,Building Inspection,Salary & Benefits,HEALTH INS,109204
Buildings & Grounds,Building Inspection,Salary & Benefits,LIFE INS,1766
Buildings & Grounds,Building Inspection,Salary & Benefits,LONGEVITY,1710
Buildings & Grounds,Building Inspection,Salary & Benefits,OVERTIME,4868
Buildings & Grounds,Building Inspection,Salary & Benefits,SALARIES & WAGES - BLDG INSP,360086
Buildings & Grounds,Building Inspection,Salary & Benefits,WRS,26400
Buildings & Grounds,Building Inspection,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",440
Buildings & Grounds,Building Inspection,"Training,Travel, Tuition",TRAINING & TRAVEL,10000
Buildings & Grounds,Building Inspection,Uniforms & Protective Gear,UNIFORMS & PROTECTIVE GEAR,2000
Buildings & Grounds,Building Inspection,Vehicle Expense,VEHICLE EXPENSE,3000
Buildings & Grounds,Maintenance Building,Equipment Materials & Supplies,BLDG CUSTODIAL SUPPLIES,2500
Buildings & Grounds,Maintenance Building,Equipment Materials & Supplies,REPAIR & MAINTENANCE SUPPLIES,5000
Buildings & Grounds,Maintenance Building,Insurance Expenses,INSURANCE ISF ALLOCATION,850
Buildings & Grounds,Maintenance Building,Salary & Benefits,DISABILITY INS,167
Buildings & Grounds,Maintenance Building,Salary & Benefits,FICA,2062
Buildings & Grounds,Maintenance Building,Salary & Benefits,LIFE INS,39
Buildings & Grounds,Maintenance Building,Salary & Benefits,SALARIES & WAGES,26952
Buildings & Grounds,Maintenance Building,Salary & Benefits,WRS,1941
Buildings & Grounds,Maintenance Building,Software and Contracted Services,REPAIRS & MAINTENANCE BY OTHER,29250
Buildings & Grounds,Maintenance Building,Utilities,UTILITIES,38575
Buildings & Grounds,New City Hall,Equipment Materials & Supplies,BLDG CUSTODIAL SUPPLIES,8000
Buildings & Grounds,New City Hall,Equipment Materials & Supplies,EQUIPMENT EXPENSE,2000
Buildings & Grounds,New City Hall,Equipment Materials & Supplies,REPAIR AND MAINT SUPPLIES,8000
Buildings & Grounds,New City Hall,Gasoline and Fuel,GASOLINE/DIESEL FUEL,805
Buildings & Grounds,New City Hall,IT Expenses,IT CAPITAL ISF ALLOCATION,760
Buildings & Grounds,New City Hall,IT Expenses,IT OPERATING ISF ALLOCATION,22810
Buildings & Grounds,New City Hall,Insurance Expenses,INSURANCE ISF ALLOCATION,25445
Buildings & Grounds,New City Hall,Salary & Benefits,B&G ON CALL PAY,19822
Buildings & Grounds,New City Hall,Salary & Benefits,DENTAL INS,2630
Buildings & Grounds,New City Hall,Salary & Benefits,DISABILITY INS,943
Buildings & Grounds,New City Hall,Salary & Benefits,FICA,18454
Buildings & Grounds,New City Hall,Salary & Benefits,HEALTH INS,50769
Buildings & Grounds,New City Hall,Salary & Benefits,LIFE INS,1033
Buildings & Grounds,New City Hall,Salary & Benefits,LONGEVITY,1800
Buildings & Grounds,New City Hall,Salary & Benefits,OVERTIME,6811
Buildings & Grounds,New City Hall,Salary & Benefits,SALARIES & WAGES-NEW CITY HALL,212801
Buildings & Grounds,New City Hall,Salary & Benefits,WRS,15614
Buildings & Grounds,New City Hall,Software and Contracted Services,OTHER CONTRACTUAL SERVICES,600
Buildings & Grounds,New City Hall,Software and Contracted Services,REPAIR & MAINT - BY OTHERS,47600
Buildings & Grounds,New City Hall,Uniforms & Protective Gear,UNIFORMS & PROTECTIVE GEAR,1100
Buildings & Grounds,New City Hall,Utilities,UTILITIES,103000
Buildings & Grounds,New City Hall,Vehicle Expense,VEHICLE EXPENSE,1000
Buildings & Grounds,Safety Building,Equipment Materials & Supplies,BLDG CUSTODIAL SUPPLIES,2000
Buildings & Grounds,Safety Building,Equipment Materials & Supplies,REPAIR & MAINT SUPPLIES,2500
Buildings & Grounds,Safety Building,Software and Contracted Services,REPAIRS & MAINT - BY OTHERS,11325
Buildings & Grounds,Safety Building,Utilities,UTILITIES,28840
Capital Debt,Transfers,Capital Projects,OTHER TRANS TO FUND 400,5387096
Capital Debt,Transfers,Capital Projects,TRANSFER TO CAP PROJ - EQUIP,565200
Community,Community Center,Equipment Materials & Supplies,BLDG CUSTODIAL SUPPLIES,7000
Community,Community Center,Equipment Materials & Supplies,EQUIPMENT EXPENSE,2000
Community,Community Center,Equipment Materials & Supplies,REPAIR & MAINT SUPPLIES,10000
Community,Community Center,Insurance Expenses,INSURANCE ISF ALLOCATION,5685
Community,Community Center,Salary & Benefits,FICA,1697
Community,Community Center,Salary & Benefits,PT/LTE/SEASONAL WAGES,22178
Community,Community Center,Software and Contracted Services,OTHER CONTRACTUAL SERVICES,500
Community,Community Center,Software and Contracted Services,REPAIRS & MAINT - BY OTHERS,26200
Community,Community Center,Utilities,UTILITIES & PAY TELEPHONE,38625
Community,HNI,Equipment Materials & Supplies,OPERATING MATERIALS & SUPP,2000
Community,HNI,General Office,PUBLIC INFORMATION & EDUCATION,300
Community,HNI,General Office,"PUBLICATIONS, DUES",445
Community,HNI,Grants,GRANTS TO OTHERS,63000
Community,HNI,IT Expenses,IT CAPITAL ISF ALLOCATION,305
Community,HNI,IT Expenses,IT OPERATING ISF ALLOCATION,6800
Community,HNI,Insurance Expenses,INSURANCE ISF ALLOCATION,1652
Community,HNI,Salary & Benefits,DISABILITY INS,400
Community,HNI,Salary & Benefits,FICA,8029
Community,HNI,Salary & Benefits,LIFE INS,51
Community,HNI,Salary & Benefits,PER DIEMS - COMMISSIONS & BDS,1280
Community,HNI,Salary & Benefits,PT/LTE/SEASONAL,19350
Community,HNI,Salary & Benefits,SALARIES & WAGES-HNI,85606
