category,department,expense_category,exp_type_category,expense_name,amount,fund_key
Buildings & Grounds,Building Inspection,Equipment Materials & Supplies,Equipment Materials & Supplies,EQUIPMENT EXPENSE,400,general
Buildings & Grounds,Building Inspection,Equipment Materials & Supplies,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,5000,general
Buildings & Grounds,Building Inspection,Gasoline and Fuel,"Vehicle Expense, Gas, Fuel",GASOLINE/DIESEL FUEL,2000,general
Buildings & Grounds,Building Inspection,General Office,General Office,OFFICE SUPPLIES & POSTAGE,900,general
Buildings & Grounds,Building Inspection,General Office,General Office,PUBLIC INFORMATION & EDUCATION,200,general
Buildings & Grounds,Building Inspection,General Office,General Office,"PUBLICATIONS, DUES",2000,general
Buildings & Grounds,Building Inspection,IT Expenses,IT Expenses,IT CAPITAL ISF ALLOCATION,1295,general
Buildings & Grounds,Building Inspection,IT Expenses,IT Expenses,IT OPERATING ISF ALLOCATION,35965,general
Buildings & Grounds,Building Inspection,Insurance Expenses,Insurance Expenses,INSURANCE ISF ALLOCATION,13140,general
Buildings & Grounds,Building Inspection,Salary & Benefits,Salary & Benefits,DENTAL INS,5776,general
Buildings & Grounds,Building Inspection,Salary & Benefits,Salary & Benefits,DISABILITY INS,1700,general
Buildings & Grounds,Building Inspection,Salary & Benefits,Salary & Benefits,FICA,28050,general
Buildings & Grounds,Building Inspection,Salary & Benefits,Salary & Benefits,HEALTH INS,109204,general
Buildings & Grounds,Building Inspection,Salary & Benefits,Salary & Benefits,LIFE INS,1766,general
Buildings & Grounds,Building Inspection,Salary & Benefits,Salary & Benefits,LONGEVITY,1710,general
Buildings & Grounds,Building Inspection,Salary & Benefits,Salary & Benefits,OVERTIME,4868,general
Buildings & Grounds,Building Inspection,Salary & Benefits,Salary & Benefits,SALARIES & WAGES - BLDG INSP,360086,general
Buildings & Grounds,Building Inspection,Salary & Benefits,Salary & Benefits,WRS,26400,general
Buildings & Grounds,Building Inspection,Software and Contracted Services,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",440,general
Buildings & Grounds,Building Inspection,"Training,Travel, Tuition","Training,Travel, Tuition",TRAINING & TRAVEL,10000,general
Buildings & Grounds,Building Inspection,Uniforms & Protective Gear,Uniforms & Protective Gear,UNIFORMS & PROTECTIVE GEAR,2000,general
Buildings & Grounds,Building Inspection,Vehicle Expense,Vehicle Expense,LEVY-BLDG INSPECT VEH,5912,capital
Buildings & Grounds,Building Inspection,Vehicle Expense,"Vehicle Expense, Gas, Fuel",VEHICLE EXPENSE,3000,general
Buildings & Grounds,City Buildings,Building Expenses,Building Expenses,LEVY-CITY CAMPUS BLDG SYSTEMS,62292,capital
Buildings & Grounds,City Buildings,Building Expenses,Building Expenses,LEVY-MAINT FAC BLDG SYS REPLAC,9814,capital
Buildings & Grounds,City Buildings,Equipment Materials & Supplies,Equipment Materials & Supplies,BLDG CUSTODIAL SUPPLIES,2000,general
Buildings & Grounds,City Buildings,Equipment Materials & Supplies,Equipment Materials & Supplies,BLDG CUSTODIAL SUPPLIES,2500,general
Buildings & Grounds,City Buildings,Equipment Materials & Supplies,Equipment Materials & Supplies,BLDG CUSTODIAL SUPPLIES,8000,general
Buildings & Grounds,City Buildings,Equipment Materials & Supplies,Equipment Materials & Supplies,EQUIPMENT EXPENSE,2000,general
Buildings & Grounds,City Buildings,Equipment Materials & Supplies,Equipment Materials & Supplies,REPAIR & MAINT SUPPLIES,2500,general
Buildings & Grounds,City Buildings,Equipment Materials & Supplies,Equipment Materials & Supplies,REPAIR & MAINTENANCE SUPPLIES,5000,general
Buildings & Grounds,City Buildings,Equipment Materials & Supplies,Equipment Materials & Supplies,REPAIR AND MAINT SUPPLIES,8000,general
Buildings & Grounds,City Buildings,Gasoline and Fuel,"Vehicle Expense, Gas, Fuel",GASOLINE/DIESEL FUEL,805,general
Buildings & Grounds,City Buildings,IT Expenses,IT Expenses,IT CAPITAL ISF ALLOCATION,760,general
Buildings & Grounds,City Buildings,IT Expenses,IT Expenses,IT OPERATING ISF ALLOCATION,22810,general
Buildings & Grounds,City Buildings,Insurance Expenses,Insurance Expenses,INSURANCE ISF ALLOCATION,850,general
Buildings & Grounds,City Buildings,Insurance Expenses,Insurance Expenses,INSURANCE ISF ALLOCATION,25445,general
Buildings & Grounds,City Buildings,Salary & Benefits,Salary & Benefits,B&G ON CALL PAY,19822,general
Buildings & Grounds,City Buildings,Salary & Benefits,Salary & Benefits,DENTAL INS,2630,general
Buildings & Grounds,City Buildings,Salary & Benefits,Salary & Benefits,DISABILITY INS,167,general
Buildings & Grounds,City Buildings,Salary & Benefits,Salary & Benefits,DISABILITY INS,943,general
Buildings & Grounds,City Buildings,Salary & Benefits,Salary & Benefits,FICA,2062,general
Buildings & Grounds,City Buildings,Salary & Benefits,Salary & Benefits,FICA,18454,general
Buildings & Grounds,City Buildings,Salary & Benefits,Salary & Benefits,HEALTH INS,50769,general
Buildings & Grounds,City Buildings,Salary & Benefits,Salary & Benefits,LIFE INS,39,general
Buildings & Grounds,City Buildings,Salary & Benefits,Salary & Benefits,LIFE INS,1033,general
Buildings & Grounds,City Buildings,Salary & Benefits,Salary & Benefits,LONGEVITY,1800,general
Buildings & Grounds,City Buildings,Salary & Benefits,Salary & Benefits,OVERTIME,6811,general
Buildings & Grounds,City Buildings,Salary & Benefits,Salary & Benefits,SALARIES & WAGES,26952,general
Buildings & Grounds,City Buildings,Salary & Benefits,Salary & Benefits,SALARIES & WAGES-NEW CITY HALL,212801,general
Buildings & Grounds,City Buildings,Salary & Benefits,Salary & Benefits,WRS,1941,general
Buildings & Grounds,City Buildings,Salary & Benefits,Salary & Benefits,WRS,15614,general
Buildings & Grounds,City Buildings,Software and Contracted Services,Software and Contracted Services,OTHER CONTRACTUAL SERVICES,600,general
Buildings & Grounds,City Buildings,Software and Contracted Services,Software and Contracted Services,REPAIR & MAINT - BY OTHERS,47600,general
Buildings & Grounds,City Buildings,Software and Contracted Services,Software and Contracted Services,REPAIRS & MAINT - BY OTHERS,11325,general
Buildings & Grounds,City Buildings,Software and Contracted Services,Software and Contracted Services,REPAIRS & MAINTENANCE BY OTHER,29250,general
Buildings & Grounds,City Buildings,Uniforms & Protective Gear,Uniforms & Protective Gear,UNIFORMS & PROTECTIVE GEAR,1100,general
Buildings & Grounds,City Buildings,Utilities,Utilities,UTILITIES,28840,general
Buildings & Grounds,City Buildings,Utilities,Utilities,UTILITIES,38575,general
Buildings & Grounds,City Buildings,Utilities,Utilities,UTILITIES,103000,general
Buildings & Grounds,City Buildings,Vehicle Expense,"Vehicle Expense, Gas, Fuel",LEVY-B&G FLEET,4668,capital
Buildings & Grounds,City Buildings,Vehicle Expense,"Vehicle Expense, Gas, Fuel",VEHICLE EXPENSE,1000,general
Community,Community Center,Equipment Materials & Supplies,Equipment Materials & Supplies,BLDG CUSTODIAL SUPPLIES,7000,general
Community,Community Center,Equipment Materials & Supplies,Equipment Materials & Supplies,EQUIPMENT EXPENSE,2000,general
Community,Community Center,Equipment Materials & Supplies,Equipment Materials & Supplies,REPAIR & MAINT SUPPLIES,10000,general
Community,Community Center,Insurance Expenses,Insurance Expenses,INSURANCE ISF ALLOCATION,5685,general
Community,Community Center,Salary & Benefits,Salary & Benefits,FICA,1697,general
Community,Community Center,Salary & Benefits,Salary & Benefits,PT/LTE/SEASONAL WAGES,22178,general
Community,Community Center,Software and Contracted Services,Software and Contracted Services,OTHER CONTRACTUAL SERVICES,500,general
Community,Community Center,Software and Contracted Services,Software and Contracted Services,REPAIRS & MAINT - BY OTHERS,26200,general
Community,Community Center,Utilities,Utilities,UTILITIES & PAY TELEPHONE,38625,general
Community,HNI,Equipment Materials & Supplies,Equipment Materials & Supplies,OPERATING MATERIALS & SUPP,2000,general
Community,HNI,General Office,General Office,PUBLIC INFORMATION & EDUCATION,300,general
Community,HNI,General Office,General Office,"PUBLICATIONS, DUES",445,general
Community,HNI,Grants,Grants,GRANTS TO OTHERS,63000,general
Community,HNI,IT Expenses,IT Expenses,IT CAPITAL ISF ALLOCATION,305,general
Community,HNI,IT Expenses,IT Expenses,IT OPERATING ISF ALLOCATION,6800,general
Community,HNI,Insurance Expenses,Insurance Expenses,INSURANCE ISF ALLOCATION,1652,general
Community,HNI,Salary & Benefits,Salary & Benefits,DISABILITY INS,400,general
Community,HNI,Salary & Benefits,Salary & Benefits,FICA,8029,general
Community,HNI,Salary & Benefits,Salary & Benefits,LIFE INS,51,general
Community,HNI,Salary & Benefits,Salary & Benefits,PER DIEMS - COMMISSIONS & BDS,1280,general
Community,HNI,Salary & Benefits,Salary & Benefits,PT/LTE/SEASONAL,19350,general
Community,HNI,Salary & Benefits,Salary & Benefits,SALARIES & WAGES-HNI,85606,general
Community,HNI,Salary & Benefits,Salary & Benefits,WRS,6164,general
Community,HNI,Software and Contracted Services,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",400,general
Community,HNI,"Training,Travel, Tuition","Training,Travel, Tuition",TRAINING & TRAVEL,2500,general
Community,HNI,"Training,Travel, Tuition","Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,280,general
Community,Neighborhood Hub,Equipment Materials & Supplies,Equipment Materials & Supplies,BLDG CUSTODIAL SUPPLIES,4000,general
Community,Neighborhood Hub,Equipment Materials & Supplies,Equipment Materials & Supplies,EQUIPMENT EXPENSE,7500,general
Community,Neighborhood Hub,Equipment Materials & Supplies,Equipment Materials & Supplies,REPAIR & MAINT SUPPLIES,5000,general
Community,Neighborhood Hub,Insurance Expenses,Insurance Expenses,INSURANCE ISF ALLOCATION,4820,general
Community,Neighborhood Hub,Salary & Benefits,Salary & Benefits,DISABILITY INS,167,general
Community,Neighborhood Hub,Salary & Benefits,Salary & Benefits,FICA,2062,general
Community,Neighborhood Hub,Salary & Benefits,Salary & Benefits,LIFE INS,39,general
Community,Neighborhood Hub,Salary & Benefits,Salary & Benefits,SALARIES & WAGES,26952,general
Community,Neighborhood Hub,Salary & Benefits,Salary & Benefits,WRS,1941,general
Community,Neighborhood Hub,Software and Contracted Services,Software and Contracted Services,REPAIRS & MAINT - BY OTHERS,11500,general
Community,Neighborhood Hub,Utilities,Utilities,UTILITIES & PAY TELEPHONE,24720,general
Community,Senior Center,Equipment Materials & Supplies,Equipment Materials & Supplies,EQUIPMENT EXPENSE,2250,general
Community,Senior Center,Equipment Materials & Supplies,Equipment Materials & Supplies,LEVY-SR/CC SEATING AND TABLES,7213,capital
Community,Senior Center,Equipment Materials & Supplies,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,600,general
Community,Senior Center,Gasoline and Fuel,"Vehicle Expense, Gas, Fuel",GASOLINE/DIESEL FUEL,400,general
Community,Senior Center,General Office,General Office,OFFICE SUPPLIES & POSTAGE,1650,general
Community,Senior Center,General Office,General Office,PUBLIC INFORMATION & EDUCATION,1000,general
Community,Senior Center,General Office,General Office,"PUBLICATIONS, DUES",420,general
Community,Senior Center,IT Expenses,IT Expenses,IT CAPITAL ISF ALLOCATION,2855,general
Community,Senior Center,IT Expenses,IT Expenses,IT OPERATING ISF ALLOCATION,45490,general
Community,Senior Center,Insurance Expenses,Insurance Expenses,INSURANCE ISF ALLOCATION,17212,general
Community,Senior Center,Program Expenses,Program Expenses,NUTRITION PROGRAM,3500,general
Community,Senior Center,Program Expenses,Program Expenses,SENIOR PROGRAMS EXPENSE,2500,general
Community,Senior Center,Program Expenses,Program Expenses,VOLUNTEER PROGRAM EXP,2500,general
Community,Senior Center,Salary & Benefits,Salary & Benefits,DENTAL INS,8436,general
Community,Senior Center,Salary & Benefits,Salary & Benefits,DISABILITY INS,2681,general
Community,Senior Center,Salary & Benefits,Salary & Benefits,FICA,46497,general
Community,Senior Center,Salary & Benefits,Salary & Benefits,HEALTH INS,162391,general
Community,Senior Center,Salary & Benefits,Salary & Benefits,LIFE INS,2110,general
